Categoria,Marca,Modelo,Versão,Motor,"Tipo de
Propulsão","Manual (M)
Automática (A)
Automática Dupla Embreagem (DCT)
Automatizada (MTA)
Contínua
(CVT)",Ar Cond.,"Hidráulica (H)
Mecânica (M)
Elétrica (E)
Eletro- hidráulica (E-H)","Elétrico Puro (E)
Gasolina (G)
Flex (F)
Diesel (D)","NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)",Redução Relativa ao  Limite,"CO2
fóssil (g/km)","CO2
fóssil (g/km)","CO2e
fóssil (g/km)",Cidade (km/l),Estrada (km/l),Cidade (km/l),Estrada (km/l),Cidade (km/l e),Estrada (km/l e),Consumo Energético (MJ/km),"Autonomia no modo Elétrico (km)
Norma SAE J1634","Comparação Relativa
na Categoria",Comparação Absoluta Geral,"Selo CONPET
de Eficiência Energética"
Compacto,Renault,Sandero,RLIN,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,10.0,10.2,13.9,14.7,\,\,1.48,\,A,B,SIM
Compacto,Renault,Sandero,ZEN10MT,1.0-12V,Combustão,M-5,S,E-H,F,57,133,3,B,0,93,\,10.0,10.2,13.9,14.7,\,\,1.48,\,A,B,SIM
Compacto,Renault,Sandero,SZE10MT,1.0-12V,Combustão,M-5,S,E-H,F,24,127,2,A,0,99,\,9.3,9.3,13.0,13.7,\,\,1.60,\,B,B,-
Compacto,VW,GOL,MPI,1.0-12V,Combustão,M - 5,S,H,F,38,164,4,B,0,92,\,9.4,10.7,13.7,15.2,\,\,1.49,\,A,B,SIM
Médio,AUDI,A3 Sportback,S line,2.0 - 16V,Híbrido,A-7,S,E,G,13,137,0,A,\,125,\,\,\,10.0,11.9,\,\,2.03,\,E,C,-
Médio,AUDI,A3 Sportback,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,G,13,137,0,A,\,125,\,\,\,10.0,11.9,\,\,2.03,\,E,C,-
Médio,BMW,118i,-,1.5 - 12V,Combustão,DCT-7,S,E,G,11,160,1,A,\,110,\,\,\,11.5,13.0,\,\,1.78,\,C,C,-
Médio,CHEVROLET,BOLT,LT,ELÉTRICO,Elétrico,Automática (A),S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,45.8,39.0,0.48,390,A,A,-
Médio,CHEVROLET,BOLT,PREMIER,ELÉTRICO,Elétrico,Automática (A),S,E,E,ND,ND,ND,A,\,\,\,\,\,\,\,45.8,39.0,0.48,390,A,A,-
Médio,CHEVROLET,ONIX,10MT HB,1.0 - 12 V,Combustão,M-6,S,E,F,35,282,4,B,0,90,\,9.4,11.6,13.3,16.6,\,\,1.45,\,A,B,SIM
Médio,CHEVROLET,ONIX,10MT LT1,1.0 - 12 V,Combustão,M-6,S,E,F,35,282,4,B,0,90,\,9.4,11.6,13.3,16.6,\,\,1.45,\,A,B,SIM
Médio,CHEVROLET,ONIX,10MT LT2,1.0 - 12 V,Combustão,M-6,S,E,F,35,282,4,B,0,90,\,9.4,11.6,13.3,16.6,\,\,1.45,\,A,B,SIM
Médio,CHEVROLET,ONIX,10TMT LT1,1.0T - 12 V,Combustão,M-6,S,E,F,57,281,3,B,0,92,\,9.1,11.1,13.1,16.1,\,\,1.50,\,A,B,SIM
Médio,CHEVROLET,ONIX,10TMT LTZ,1.0T - 12 V,Combustão,M-6,S,E,F,57,281,3,B,0,92,\,9.1,11.1,13.1,16.1,\,\,1.50,\,A,B,SIM
Médio,CHEVROLET,ONIX,"10TAT HB
(produzidos até 22Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,47,193,4,B,0,101,\,8.4,10.4,11.9,15.1,\,\,1.64,\,B,B,-
Médio,CHEVROLET,ONIX,"10TAT LT1
(produzidos até 22Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,47,193,4,B,0,101,\,8.4,10.4,11.9,15.1,\,\,1.64,\,B,B,-
Médio,CHEVROLET,ONIX,"10TAT LTZ
(produzidos até 22Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,47,193,4,B,0,101,\,8.4,10.4,11.9,15.1,\,\,1.64,\,B,B,-
Médio,CHEVROLET,ONIX,"10TAT PR2
(produzidos até 22Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,47,193,4,B,0,101,\,8.4,10.4,11.9,15.1,\,\,1.64,\,B,B,-
Médio,CHEVROLET,ONIX,"10TAT RS
(produzidos até 22Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,35,165,2,B,0,105,\,8.2,9.8,11.8,14.0,\,\,1.70,\,C,B,-
Médio,CHEVROLET,ONIX,"10TAT HB
(produzidos a partir de 23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,31,413,2,B,0,102,\,8.4,10.4,11.8,14.9,\,\,1.64,\,B,B,-
Médio,CHEVROLET,ONIX,"10TAT LT1
(produzidos a partir de 23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,31,413,2,B,0,102,\,8.4,10.4,11.8,14.9,\,\,1.64,\,B,B,-
Médio,CHEVROLET,ONIX,"10TAT LTZ
(produzidos a partir de 23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,31,413,2,B,0,102,\,8.4,10.4,11.8,14.9,\,\,1.64,\,B,B,-
Médio,CHEVROLET,ONIX,"10TAT PR2
(produzidos a partir de 23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,31,413,2,B,0,102,\,8.4,10.4,11.8,14.9,\,\,1.64,\,B,B,-
Médio,CHEVROLET,ONIX,"10TAT RS
(produzidos a partir de 23Jan23)",1.0T - 12 V,Combustão,A-6,S,E,F,35,447,2,B,0,104,\,8.2,10.0,11.7,14.5,\,\,1.68,\,C,B,-
Médio,CHEVROLET,ONIX PLUS,10MT LT1,1.0 - 12 V,Combustão,M-6,S,E,F,37,294,4,B,0,87,\,9.5,12.4,13.6,17.5,\,\,1.40,\,A,B,SIM
Médio,CHEVROLET,ONIX PLUS,10MT LT2,1.0 - 12 V,Combustão,M-6,S,E,F,37,294,4,B,0,87,\,9.5,12.4,13.6,17.5,\,\,1.40,\,A,B,SIM
Médio,CHEVROLET,ONIX PLUS,10TMT LT1,1.0T - 12 V,Combustão,M-6,S,E,F,47,277,4,B,0,89,\,9.3,11.8,13.4,16.9,\,\,1.44,\,A,B,SIM
Médio,CHEVROLET,ONIX PLUS,10TMT LTZ,1.0T - 12 V,Combustão,M-6,S,E,F,47,277,4,B,0,89,\,9.3,11.8,13.4,16.9,\,\,1.44,\,A,B,SIM
Médio,CHEVROLET,ONIX PLUS,10TAT NB,1.0T - 12 V,Combustão,A-6,S,E,F,45,216,4,B,0,95,\,8.4,12.2,12.3,16.8,\,\,1.53,\,A,B,SIM
